,season,player_id,first_name,last_name,player_name,position,height_wo_shoes,height_wo_shoes_ft_in,height_w_shoes,height_w_shoes_ft_in,weight,wingspan,wingspan_ft_in,standing_reach,standing_reach_ft_in,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press,spot_fifteen_corner_left,spot_fifteen_break_left,spot_fifteen_top_key,spot_fifteen_break_right,spot_fifteen_corner_right,spot_college_corner_left,spot_college_break_left,spot_college_top_key,spot_college_break_right,spot_college_corner_right,spot_nba_corner_left,spot_nba_break_left,spot_nba_top_key,spot_nba_break_right,spot_nba_corner_right,off_drib_fifteen_break_left,off_drib_fifteen_top_key,off_drib_fifteen_break_right,off_drib_college_break_left,off_drib_college_top_key,off_drib_college_break_right,on_move_fifteen,on_move_college
0,2001,12033,Adam,Allenspach,Adam Allenspach,C,83.5,6' 11.5'',,,259,84.5,7' 0.5'',107,8' 11'',12.4,,,28.5,31,11.9,,3.4,16,,,,,,,,,,,,,,,,,,,,,,,
1,2001,2240,Gilbert,Arenas,Gilbert Arenas,SG,74.25,6' 2.25'',,,199,81.5,6' 9.5'',99.5,8' 3.5'',5.3,,,31.5,36,,,3.25,12,,,,,,,,,,,,,,,,,,,,,,,
2,2001,2220,Brandon,Armstrong,Brandon Armstrong,SG,75.5,6' 3.5'',,,188,81.5,6' 9.5'',99.5,8' 3.5'',9.3,,,30,37,10.91,,3.2,6,,,,,,,,,,,,,,,,,,,,,,,
3,2001,2203,Shane,Battier,Shane Battier,SF-PF,80.25,6' 8.25'',,,229,82.5,6' 10.5'',105,8' 9'',9.3,,,29.5,33,10.95,,3.3,12,,,,,,,,,,,,,,,,,,,,,,,
4,2001,12034,Cookie,Belcher,Cookie Belcher,SG-PG,75,6' 3'',,,206,80.5,6' 8.5'',99,8' 3'',5.3,,,35,41.5,11.26,,2.91,7,,,,,,,,,,,,,,,,,,,,,,,
5,2001,2294,Charlie,Bell,Charlie Bell,PG,74.5,6' 2.5'',,,200,79.5,6' 7.5'',97.5,8' 1.5'',6.7,,,31.5,38,10.59,,3.12,15,,,,,,,,,,,,,,,,,,,,,,,
6,2001,2257,Ruben,Boumtje-Boumtje,Ruben Boumtje-Boumtje,C,83.5,6' 11.5'',,,245,88,7' 4'',111,9' 3'',6,,,26.5,31,11.84,,3.33,6,,,,,,,,,,,,,,,,,,,,,,,
7,2001,12035,Calvin,Bowman,Calvin Bowman,PF,80.75,6' 8.75'',,,214,83.5,6' 11.5'',104,8' 8'',8.6,,,28.5,34.5,11.96,,3.21,7,,,,,,,,,,,,,,,,,,,,,,,
8,2001,2214,Michael,Bradley,Michael Bradley,PF,81.5,6' 9.5'',,,227,85.5,7' 1.5'',107,8' 11'',9.3,,,27,30,11.11,,3.35,13,,,,,,,,,,,,,,,,,,,,,,,
9,2001,2249,Jamison,Brewer,Jamison Brewer,PG,74.5,6' 2.5'',,,178,80.75,6' 8.75'',102.5,8' 6.5'',6.7,,,26,32.5,9.65,,3.15,12,,,,,,,,,,,,,,,,,,,,,,,
10,2001,2198,Kwame,Brown,Kwame Brown,PF-C,82,6' 10'',,,243,85,7' 1'',108,9' 0'',8.9,,,30,33,11.59,,3.45,17,,,,,,,,,,,,,,,,,,,,,,,
11,2001,12031,SirValiant,Brown,SirValiant Brown,PG,71,5' 11'',,,176,76,6' 4'',92.5,7' 8.5'',6.7,,,31,39.5,11.23,,3,10,,,,,,,,,,,,,,,,,,,,,,,
12,2001,2245,Damone,Brown,Damone Brown,SF,80.25,6' 8.25'',,,202,83.75,6' 11.75'',104.5,8' 8.5'',6.7,,,32,37,11.81,,3.27,6,,,,,,,,,,,,,,,,,,,,,,,
13,2001,12032,Ryan,Carroll,Ryan Carroll,SF-SG,76,6' 4'',,,202,80.25,6' 8.25'',99,8' 3'',8,,,34.5,39,11,,3.1,14,,,,,,,,,,,,,,,,,,,,,,,
